Country Name	Country Code	Indicator Name	Indicator Code	1960	1961	1962	1963	1964	1965	1966	1967	1968	1969	1970	1971	1972	1973	1974	1975	1976	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017
Cameroon	CMR	"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)"	EN.ATM.PM25.MC.M3																															105.8119924					103.2191233					99.64518179					81.86721758					72.27055642	75.54387737	75.04002265	73.84895647	69.50826883	134.7937498	139.7057901	
"Congo, Dem. Rep."	COD	"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)"	EN.ATM.PM25.MC.M3																															48.10641757					48.55653411					51.41743451					47.0669214					41.7504885	44.36907214	46.59725112	46.85344511	46.57451961	55.8983428	56.27516385	
"Congo, Rep."	COG	"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)"	EN.ATM.PM25.MC.M3																															52.26649273					52.48094802					61.25726755					57.8811818					49.419361	48.75708359	51.24946775	51.9290625	53.17355571	56.86638933	55.83271511	
Colombia	COL	"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)"	EN.ATM.PM25.MC.M3																															21.25600764					20.40335274					20.41018323					21.51653051					16.68991058	17.69859584	17.31062928	18.35821222	17.67678909	17.11017315	17.11938773	
Comoros	COM	"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)"	EN.ATM.PM25.MC.M3																															20.8561871					20.93164914					21.11979994					20.35794098					16.82916615	17.28031378	17.2831699	17.48157752	17.11820358	19.03326428	19.14635158	
Cabo Verde	CPV	"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)"	EN.ATM.PM25.MC.M3																															52.82027707					54.27213568					49.48702999					33.76800323					34.5617685	38.92659343	45.18200834	43.87494127	42.09588617	64.96636654	66.64177108	
Costa Rica	CRI	"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)"	EN.ATM.PM25.MC.M3																															21.37100153					21.13178224					22.03236237					20.62707769					14.434751	15.31328615	16.48717769	18.55867601	18.37695382	18.54336032	18.53054595	
Caribbean small states	CSS	"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)"	EN.ATM.PM25.MC.M3																															21.70261847					21.62077971					21.68508001					18.35942614					13.97940724	14.65776143	15.75655852	16.67540933	16.48883736	16.81613984	16.84509139	
Cuba	CUB	"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)"	EN.ATM.PM25.MC.M3																															22.84168225					21.80857811					21.73959791					20.78281911					15.47623754	16.38335561	17.84825625	18.29517356	18.14566209	16.70338633	16.6241175	
Curacao	CUW	"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)"	EN.ATM.PM25.MC.M3																																																										
